ds,y,hour,day_of_week,is_weekend
2025-12-01 11:06:19.352495,193,11,Monday,0
2025-12-01 11:11:19.352495,187,11,Monday,0
2025-12-01 11:16:19.352495,195,11,Monday,0
2025-12-01 11:21:19.352495,204,11,Monday,0
2025-12-01 11:26:19.352495,187,11,Monday,0
2025-12-01 11:31:19.352495,187,11,Monday,0
2025-12-01 11:36:19.352495,205,11,Monday,0
2025-12-01 11:41:19.352495,197,11,Monday,0
2025-12-01 11:46:19.352495,185,11,Monday,0
2025-12-01 11:51:19.352495,195,11,Monday,0
2025-12-01 11:56:19.352495,185,11,Monday,0
2025-12-01 12:01:19.352495,185,12,Monday,0
2025-12-01 12:06:19.352495,192,12,Monday,0
2025-12-01 12:11:19.352495,170,12,Monday,0
2025-12-01 12:16:19.352495,172,12,Monday,0
2025-12-01 12:21:19.352495,184,12,Monday,0
2025-12-01 12:26:19.352495,179,12,Monday,0
2025-12-01 12:31:19.352495,192,12,Monday,0
2025-12-01 12:36:19.352495,180,12,Monday,0
2025-12-01 12:41:19.352495,175,12,Monday,0
2025-12-01 12:46:19.352495,204,12,Monday,0
2025-12-01 12:51:19.352495,186,12,Monday,0
2025-12-01 12:56:19.352495,189,12,Monday,0
2025-12-01 13:01:19.352495,174,13,Monday,0
2025-12-01 13:06:19.352495,183,13,Monday,0
2025-12-01 13:11:19.352495,189,13,Monday,0
2025-12-01 13:16:19.352495,176,13,Monday,0
2025-12-01 13:21:19.352495,191,13,Monday,0
2025-12-01 13:26:19.352495,181,13,Monday,0
2025-12-01 13:31:19.352495,184,13,Monday,0
2025-12-01 13:36:19.352495,180,13,Monday,0
2025-12-01 13:41:19.352495,205,13,Monday,0
2025-12-01 13:46:19.352495,185,13,Monday,0
2025-12-01 13:51:19.352495,175,13,Monday,0
2025-12-01 13:56:19.352495,193,13,Monday,0
2025-12-01 14:01:19.352495,172,14,Monday,0
2025-12-01 14:06:19.352495,186,14,Monday,0
2025-12-01 14:11:19.352495,164,14,Monday,0
2025-12-01 14:16:19.352495,170,14,Monday,0
2025-12-01 14:21:19.352495,185,14,Monday,0
2025-12-01 14:26:19.352495,189,14,Monday,0
2025-12-01 14:31:19.352495,183,14,Monday,0
2025-12-01 14:36:19.352495,180,14,Monday,0
2025-12-01 14:41:19.352495,177,14,Monday,0
2025-12-01 14:46:19.352495,165,14,Monday,0
2025-12-01 14:51:19.352495,172,14,Monday,0
2025-12-01 14:56:19.352495,174,14,Monday,0
2025-12-01 15:01:19.352495,189,15,Monday,0
2025-12-01 15:06:19.352495,181,15,Monday,0
2025-12-01 15:11:19.352495,159,15,Monday,0
2025-12-01 15:16:19.352495,179,15,Monday,0
2025-12-01 15:21:19.352495,172,15,Monday,0
2025-12-01 15:26:19.352495,168,15,Monday,0
2025-12-01 15:31:19.352495,180,15,Monday,0
2025-12-01 15:36:19.352495,184,15,Monday,0
2025-12-01 15:41:19.352495,182,15,Monday,0
2025-12-01 15:46:19.352495,164,15,Monday,0
2025-12-01 15:51:19.352495,168,15,Monday,0
2025-12-01 15:56:19.352495,174,15,Monday,0
2025-12-01 16:01:19.352495,180,16,Monday,0
2025-12-01 16:06:19.352495,164,16,Monday,0
2025-12-01 16:11:19.352495,167,16,Monday,0
2025-12-01 16:16:19.352495,157,16,Monday,0
2025-12-01 16:21:19.352495,155,16,Monday,0
2025-12-01 16:26:19.352495,174,16,Monday,0
2025-12-01 16:31:19.352495,179,16,Monday,0
2025-12-01 16:36:19.352495,164,16,Monday,0
2025-12-01 16:41:19.352495,174,16,Monday,0
2025-12-01 16:46:19.352495,166,16,Monday,0
2025-12-01 16:51:19.352495,156,16,Monday,0
2025-12-01 16:56:19.352495,165,16,Monday,0
2025-12-01 17:01:19.352495,176,17,Monday,0
2025-12-01 17:06:19.352495,159,17,Monday,0
2025-12-01 17:11:19.352495,174,17,Monday,0
2025-12-01 17:16:19.352495,132,17,Monday,0
2025-12-01 17:21:19.352495,165,17,Monday,0
2025-12-01 17:26:19.352495,157,17,Monday,0
2025-12-01 17:31:19.352495,152,17,Monday,0
2025-12-01 17:36:19.352495,155,17,Monday,0
2025-12-01 17:41:19.352495,134,17,Monday,0
2025-12-01 17:46:19.352495,151,17,Monday,0
2025-12-01 17:51:19.352495,155,17,Monday,0
2025-12-01 17:56:19.352495,166,17,Monday,0
2025-12-01 18:01:19.352495,145,18,Monday,0
2025-12-01 18:06:19.352495,141,18,Monday,0
2025-12-01 18:11:19.352495,143,18,Monday,0
2025-12-01 18:16:19.352495,157,18,Monday,0
2025-12-01 18:21:19.352495,150,18,Monday,0
2025-12-01 18:26:19.352495,141,18,Monday,0
2025-12-01 18:31:19.352495,150,18,Monday,0
2025-12-01 18:36:19.352495,145,18,Monday,0
2025-12-01 18:41:19.352495,153,18,Monday,0
2025-12-01 18:46:19.352495,135,18,Monday,0
2025-12-01 18:51:19.352495,138,18,Monday,0
2025-12-01 18:56:19.352495,137,18,Monday,0
2025-12-01 19:01:19.352495,125,19,Monday,0
2025-12-01 19:06:19.352495,142,19,Monday,0
2025-12-01 19:11:19.352495,141,19,Monday,0
2025-12-01 19:16:19.352495,138,19,Monday,0
2025-12-01 19:21:19.352495,134,19,Monday,0
2025-12-01 19:26:19.352495,122,19,Monday,0
2025-12-01 19:31:19.352495,131,19,Monday,0
2025-12-01 19:36:19.352495,131,19,Monday,0
2025-12-01 19:41:19.352495,125,19,Monday,0
2025-12-01 19:46:19.352495,131,19,Monday,0
2025-12-01 19:51:19.352495,136,19,Monday,0
2025-12-01 19:56:19.352495,150,19,Monday,0
2025-12-01 20:01:19.352495,132,20,Monday,0
2025-12-01 20:06:19.352495,132,20,Monday,0
2025-12-01 20:11:19.352495,128,20,Monday,0
2025-12-01 20:16:19.352495,109,20,Monday,0
